song_name,artists,popularity
See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",74
Trap Queen,['Fetty Wap'],74
Watch Me (Whip / Nae Nae),['Silentó'],62
679 (feat. Remy Boyz),"['Fetty Wap', 'Remy Boyz']",76
Hotline Bling,['Drake'],71
Time of Our Lives,"['Pitbull', 'Ne-Yo']",76
GDFR (feat. Sage The Gemini & Lookas),"['Flo Rida', 'Lookas', 'Sage The Gemini']",70
My Way (feat. Monty),"['Fetty Wap', 'Monty']",70
Nasty Freestyle,['T-Wayne'],66
Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",70
I Don't Fuck With You,"['Big Sean', 'E-40']",71
"Flex (Ooh, Ooh, Ooh)",['Rich Homie Quan'],66
Truffle Butter,"['Nicki Minaj', 'Drake', 'Lil Wayne']",67
All Eyes On You (feat. Chris Brown & Nicki Minaj),"['Meek Mill', 'Chris Brown', 'Nicki Minaj']",71
Blessings,"['Big Sean', 'Drake']",66
No Type,['Rae Sremmurd'],72
CoCo,['O.T. Genasis'],67
Hit the Quan - Throw the Flag Version,['iLoveMemphis'],54
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","['Macklemore & Ryan Lewis', 'Grandmaster Caz', 'Grandmaster Melle Mel', 'Eric Nally', 'Kool Moe Dee']",71
Energy,['Drake'],70
Throw Sum Mo,"['Rae Sremmurd', 'Nicki Minaj', 'Young Thug']",66
Back To Back,['Drake'],69
Be Real,"['Kid Ink', 'DeJ Loaf']",62
Where Ya At,"['Future', 'Drake']",72
Feeling Myself,"['Nicki Minaj', 'Beyoncé']",67
Again,['Fetty Wap'],69
Jumpman (In the Style of Drake & Future) [Karaoke Version],['Instrumental King'],17
The Night Is Still Young,['Nicki Minaj'],60
Hot Boy,['Bobby Shmurda'],45
Fun,"['Pitbull', 'Chris Brown']",63
F*ck Up Some Commas,['Future'],73
Know Yourself,['Drake'],69
Beg For It,"['Iggy Azalea', 'MØ']",51
All Day,"['Kanye West', 'Theophilus London', 'Allan Kingdom', 'Paul McCartney']",60
This Could Be Us,['Rae Sremmurd'],72
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","['Flo Rida', 'Verdine White', 'Robin Thicke']",68
Comfortable,['K CAMP'],67
Try Me,['DeJ Loaf'],59
Antidote,['Travis Scott'],78
The Matrimony (feat. Usher),"['Wale', 'Usher']",56
L.A.LOVE (la la) [feat. YG],"['Fergie', 'YG']",61
White Iverson,['Post Malone'],82
Apparently,['J. Cole'],71
Wet Dreamz,['J. Cole'],79
R.I.C.O. (feat. Drake),"['Meek Mill', 'Drake']",74
Anaconda,['Nicki Minaj'],64
Legend,['Drake'],70
How Many Times,"['DJ Khaled', 'Chris Brown', 'Lil Wayne', 'Big Sean']",57
Black Widow,"['Iggy Azalea', 'Rita Ora']",64
10 Bands,['Drake'],69
