song_name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Panda,['Desiigner'],72,0.72,0.748,10,-5.522,0,0.393,0.0235,0,0.369,0.246,145.22,audio_features,275a9yzwGB6ncAW4SxY7q3,spotify:track:275a9yzwGB6ncAW4SxY7q3,https://api.spotify.com/v1/tracks/275a9yzwGB6ncAW4SxY7q3,https://api.spotify.com/v1/audio-analysis/275a9yzwGB6ncAW4SxY7q3,247867,4
"Me, Myself & I (Originally Performed by G-Eazy x Bebe Rexha)",['Boom Boxx'],18,0.819,0.543,0,-8.277,0,0.0606,0.0667,2.31e-05,0.0878,0.245,112.107,audio_features,6tsA1Pr7JTqXKmnSIrYfNI,spotify:track:6tsA1Pr7JTqXKmnSIrYfNI,https://api.spotify.com/v1/tracks/6tsA1Pr7JTqXKmnSIrYfNI,https://api.spotify.com/v1/audio-analysis/6tsA1Pr7JTqXKmnSIrYfNI,252395,4
Hotline Bling,['Drake'],71,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.000186,0.0504,0.553,134.969,audio_features,0wwPcA6wtMf6HUMpIRdeP7,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,267067,4
Too Good,"['Drake', 'Rihanna']",70,0.82,0.641,4,-7.811,0,0.116,0.0662,5.07e-05,0.102,0.395,117.974,audio_features,3BtuIIrQlkujKPuWF2B85z,spotify:track:3BtuIIrQlkujKPuWF2B85z,https://api.spotify.com/v1/tracks/3BtuIIrQlkujKPuWF2B85z,https://api.spotify.com/v1/audio-analysis/3BtuIIrQlkujKPuWF2B85z,263373,4
Broccoli,"['DRAM', 'Lil Yachty']",74,0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,audio_features,0qy5D3OJre7SPJNMOL9I71,spotify:track:0qy5D3OJre7SPJNMOL9I71,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71,225205,4
Jumpman (In the Style of Drake & Future) [Karaoke Version],['Instrumental King'],17,0.808,0.396,4,-4.967,1,0.124,0.00297,0.925,0.114,0.888,142.002,audio_features,7DH4e83LRgbABs6R7Eu7sF,spotify:track:7DH4e83LRgbABs6R7Eu7sF,https://api.spotify.com/v1/tracks/7DH4e83LRgbABs6R7Eu7sF,https://api.spotify.com/v1/audio-analysis/7DH4e83LRgbABs6R7Eu7sF,216338,4
Don't Mind,['Kent Jones'],71,0.464,0.771,8,-4.503,1,0.336,0.0235,0,0.063,0.69,158.777,audio_features,27PmvZoffODNFW2p7ehZTQ,spotify:track:27PmvZoffODNFW2p7ehZTQ,https://api.spotify.com/v1/tracks/27PmvZoffODNFW2p7ehZTQ,https://api.spotify.com/v1/audio-analysis/27PmvZoffODNFW2p7ehZTQ,198237,4
Low Life,"['Future', 'The Weeknd']",80,0.722,0.331,8,-7.789,1,0.0725,0.337,0.283,0.146,0.102,143.974,audio_features,7EiZI6JVHllARrX9PUvAdX,spotify:track:7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,313547,4
For Free,"['DJ Khaled', 'Drake']",63,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,audio_features,4JDZl9nKIAhAhDjw753u4X,spotify:track:4JDZl9nKIAhAhDjw753u4X,https://api.spotify.com/v1/tracks/4JDZl9nKIAhAhDjw753u4X,https://api.spotify.com/v1/audio-analysis/4JDZl9nKIAhAhDjw753u4X,183695,4
2 Phones,['Kevin Gates'],73,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,audio_features,0wdKiSBUT7aZkXUIdJWcwC,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,https://api.spotify.com/v1/audio-analysis/0wdKiSBUT7aZkXUIdJWcwC,240000,4
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","['Lil Wayne', 'Wiz Khalifa', 'Imagine Dragons', 'Logic', 'Ty Dolla $ign', 'X Ambassadors']",80,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,audio_features,4dASQiO1Eoo3RJvt74FtXB,spotify:track:4dASQiO1Eoo3RJvt74FtXB,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,243491,4
Down In the DM,['Yo Gotti'],69,0.776,0.662,1,-7.016,0,0.0489,0.00157,2.1e-05,0.0887,0.324,152.927,audio_features,1LxKKYsJNPeBdOwdudsJzv,spotify:track:1LxKKYsJNPeBdOwdudsJzv,https://api.spotify.com/v1/tracks/1LxKKYsJNPeBdOwdudsJzv,https://api.spotify.com/v1/audio-analysis/1LxKKYsJNPeBdOwdudsJzv,182733,4
Antidote,['Travis Scott'],78,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,audio_features,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,262693,4
Pop Style,['Drake'],65,0.718,0.458,4,-10.024,0,0.117,0.187,3.43e-06,0.105,0.0514,132.998,audio_features,5mPSyjLatqB00IkPqRlbTE,spotify:track:5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/tracks/5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/audio-analysis/5mPSyjLatqB00IkPqRlbTE,212947,4
679 (feat. Remy Boyz),"['Fetty Wap', 'Remy Boyz']",76,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693,4
All The Way Up (Remix),"['Fat Joe', 'Remy Ma', 'JAY Z', 'French Montana', 'InfaRed']",70,0.564,0.717,10,-6.403,0,0.397,0.097,0,0.493,0.423,117.489,audio_features,2AYTGaclgKXACh13nJRVcV,spotify:track:2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/tracks/2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/audio-analysis/2AYTGaclgKXACh13nJRVcV,284831,5
White Iverson,['Post Malone'],82,0.674,0.568,7,-7.678,1,0.0349,0.216,0,0.0863,0.321,130.081,audio_features,6eT7xZZlB2mwyzJ2sUKG6w,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/tracks/6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/audio-analysis/6eT7xZZlB2mwyzJ2sUKG6w,256533,4
Cut It (feat. Young Dolph),"['O.T. Genasis', 'Young Dolph']",71,0.875,0.673,7,-4.184,1,0.0932,0.135,0,0.292,0.231,130.0,audio_features,376KnY4TrgBITxjlnbnmIy,spotify:track:376KnY4TrgBITxjlnbnmIy,https://api.spotify.com/v1/tracks/376KnY4TrgBITxjlnbnmIy,https://api.spotify.com/v1/audio-analysis/376KnY4TrgBITxjlnbnmIy,222600,4
Wicked,['Future'],68,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,audio_features,6BbINUfGabVyiNFJpQXn3x,spotify:track:6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/tracks/6BbINUfGabVyiNFJpQXn3x,https://api.spotify.com/v1/audio-analysis/6BbINUfGabVyiNFJpQXn3x,173347,4
